variant,prompt,augmentation,subset,outcome,treatment,method,learner,n_obs,coef,se,t_stat,p_val,ci_lower,ci_upper,sig_stars,interpretation,error
biased,biased,snippet,POOLED,rank_delta,T1a_stats_present,plr,lgbm,17878,-0.09435165580347657,0.09480447836409577,-0.9952236163477411,0.3196275181493271,-0.28016501897021107,0.0914617073632579,,T1a Stats Present (binary) not significantly worsens LLM re-ranking by 0.09 positions (p=0.320),
biased,biased,snippet,POOLED,rank_delta,T1a_stats_present,plr,rf,17878,-0.11998759400637166,0.0905651584740735,-1.3248758797316196,0.18521232211812766,-0.2974920428697182,0.057516854856974886,,T1a Stats Present (binary) not significantly worsens LLM re-ranking by 0.12 positions (p=0.185),
biased,biased,snippet,POOLED,rank_delta,T1b_stats_density,plr,lgbm,17364,0.0006300589030794408,0.004898953040141501,0.1286109292979143,0.8976655178074626,-0.008971712617550908,0.010231830423709789,,T1b Stats Density (continuous) not significantly improves LLM re-ranking by 0.00 positions (p=0.898),
biased,biased,snippet,POOLED,rank_delta,T1b_stats_density,plr,rf,17364,-0.005575651250642072,0.005552568667219859,-1.0041571000388494,0.31530289644669585,-0.016458485860078566,0.0053071833587944196,,T1b Stats Density (continuous) not significantly worsens LLM re-ranking by 0.01 positions (p=0.315),
biased,biased,snippet,POOLED,rank_delta,T2a_question_headings,plr,lgbm,17878,0.12301245565155228,0.07637976270055652,1.610537285037362,0.10728061257385103,-0.026689128389254246,0.2727140396923588,,T2a Question Headings (binary) not significantly improves LLM re-ranking by 0.12 positions (p=0.107),
biased,biased,snippet,POOLED,rank_delta,T2a_question_headings,plr,rf,17878,0.1016017743743993,0.07047149505484752,1.4417428535512589,0.14937492954873208,-0.036519817869794385,0.23972336661859298,,T2a Question Headings (binary) not significantly improves LLM re-ranking by 0.10 positions (p=0.149),
biased,biased,snippet,POOLED,rank_delta,T2b_structural_modularity,plr,lgbm,17878,0.005115101023684602,0.001635479401710196,3.1275851095011156,0.0017624878259724522,0.0019096202988755037,0.008320581748493702,***,T2b Structural Modularity (count) significantly improves LLM re-ranking by 0.01 positions (p=0.002),
biased,biased,snippet,POOLED,rank_delta,T2b_structural_modularity,plr,rf,17878,0.00522782579745645,0.001511032439462595,3.459770724257745,0.0005406355073102239,0.0022662566366380634,0.008189394958274837,***,T2b Structural Modularity (count) significantly improves LLM re-ranking by 0.01 positions (p=0.001),
biased,biased,snippet,POOLED,rank_delta,T3_structured_data_new,plr,lgbm,17878,-0.012715545737145773,0.06711454121693619,-0.18946036889449877,0.849732013567337,-0.14425762936126976,0.11882653788697821,,T3 Structured Data (expanded) not significantly worsens LLM re-ranking by 0.01 positions (p=0.850),
biased,biased,snippet,POOLED,rank_delta,T3_structured_data_new,plr,rf,17878,0.043437723356088115,0.060964383091296724,0.7125098484313095,0.47614911510365676,-0.07605027184255611,0.16292571855473234,,T3 Structured Data (expanded) not significantly improves LLM re-ranking by 0.04 positions (p=0.476),
