slice,outcome,treatment,n,coef,se,ci_lo,ci_hi,p_val,sig_alpha6
ENG:ddg,selected,treat_stats_density,87008,-0.00017420659327542924,0.0004812460148265974,-0.00111744878233556,0.0007690355957847017,0.7173589623192747,False
ENG:ddg,selected,treat_question_headings,89160,0.012092806023688514,0.005037008949230026,0.0022202684831976634,0.021965343564179365,0.016359674903861254,False
ENG:ddg,selected,treat_structured_data,89160,-0.02642804124035335,0.004915484782865781,-0.03606239141477028,-0.016793691065936422,7.595307693897269e-08,True
ENG:ddg,selected,T4_citation_authority_code,87984,0.0016951975659213047,0.000809292572096773,0.00010898412461162951,0.00328141100723098,0.03620070124090624,False
ENG:ddg,selected,treat_topical_comp,52328,0.03547179083105853,0.02400357552564337,-0.011575217199202473,0.08251879886131953,0.13946904930654536,False
ENG:ddg,selected,treat_freshness,89160,-0.002561018912054229,0.001299833551185983,-0.005108692672378756,-1.3345151729702263e-05,0.048807799475593994,False
ENG:searxng,selected,treat_stats_density,134712,-0.0006358153989522185,0.0004180542964176199,-0.0014552018199307534,0.00018357102202631653,0.1282869635012882,False
ENG:searxng,selected,treat_question_headings,142696,0.008406459864380107,0.003449686919055181,0.0016450735030319524,0.015167846225728261,0.014814751407713267,False
ENG:searxng,selected,treat_structured_data,142696,-0.02645352702993164,0.0031984764967706737,-0.032722540963602165,-0.020184513096261122,2.220446049250313e-16,True
ENG:searxng,selected,T4_citation_authority_code,97192,-0.0013484056949089039,0.0012070532924157327,-0.00371423014804374,0.001017418758225932,0.2639492817821951,False
ENG:searxng,selected,treat_topical_comp,152064,0.009566970260917957,0.01087212925195371,-0.011742403072911316,0.03087634359474723,0.3788843971117455,False
ENG:searxng,selected,treat_freshness,142696,-0.009772295219092238,0.0008788958446599381,-0.011494931074625717,-0.008049659363558758,0.0,True
ENG:ddg,rank_delta,treat_stats_density,86258,0.001174448820386137,0.004818473026471595,-0.008269758311498189,0.010618655952270463,0.8074331234423606,False
ENG:ddg,rank_delta,treat_question_headings,88321,-0.02193895090767175,0.04603399978574942,-0.11216559048774061,0.06828768867239712,0.633660186835892,False
ENG:ddg,rank_delta,treat_structured_data,88321,-0.2546454422932755,0.04253828222655875,-0.33802047545733066,-0.17127040912922037,2.147140687469573e-09,True
ENG:ddg,rank_delta,T4_citation_authority_code,82765,-0.002378882931322238,0.010976308068809539,-0.02389244674618893,0.019134680883544457,0.8284196415314677,False
ENG:ddg,rank_delta,treat_topical_comp,47884,-1.415350377370685,0.22589634889045543,-1.8581072211959777,-0.9725935335453924,3.7166469901706023e-10,True
ENG:ddg,rank_delta,treat_freshness,88321,-0.10992402235427147,0.011175670933356625,-0.13182833738365046,-0.08801970732489248,0.0,True
ENG:searxng,rank_delta,treat_stats_density,164619,-0.0012864791247428086,0.0028405865847803418,-0.006854028830912278,0.004281070581426662,0.6506264648904663,False
ENG:searxng,rank_delta,treat_question_headings,172494,0.22925934600859166,0.02394853768290072,0.18232021215010624,0.2761984798670771,0.0,True
ENG:searxng,rank_delta,treat_structured_data,172494,-0.0456502665625804,0.021562419436117496,-0.08791260865737069,-0.0033879244677901127,0.03424951860874281,False
ENG:searxng,rank_delta,T4_citation_authority_code,126730,-0.05298806135825217,0.010546340225488044,-0.07365888820020873,-0.032317234516295604,5.052510234637708e-07,True
ENG:searxng,rank_delta,treat_topical_comp,179207,-0.17006654175281674,0.07392991199843123,-0.31496916926974194,-0.025163914235891538,0.021426968275275904,False
ENG:searxng,rank_delta,treat_freshness,172494,-0.03021403769935338,0.006067082277405656,-0.04210551896306847,-0.018322556435638293,6.358600843636708e-07,True
ENG:ddg,post_rank,treat_stats_density,99103,0.004835921718984427,0.0028294554568148757,-0.0007098109763727291,0.010381654414341582,0.08742592167776309,False
ENG:ddg,post_rank,treat_question_headings,101894,-0.0020789375147255177,0.028788018013059608,-0.05850345282032234,0.05434557779087131,0.9424305096836769,False
ENG:ddg,post_rank,treat_structured_data,101894,0.04009469421256631,0.02739865753743045,-0.013606674560797373,0.09379606298592999,0.14336296159185036,False
ENG:ddg,post_rank,T4_citation_authority_code,82765,-0.0051891319696821,0.007633916294225271,-0.020151607906363632,0.00977334396699943,0.4966646482631296,False
ENG:ddg,post_rank,treat_topical_comp,50082,-0.5141778976739435,0.14264784883386677,-0.7937676813883223,-0.23458811395956464,0.00031272299377960167,True
ENG:ddg,post_rank,treat_freshness,101894,-0.02112497929766164,0.007334363485825848,-0.035500331729880305,-0.006749626865442978,0.003973292101773884,True
ENG:searxng,post_rank,treat_stats_density,179023,-0.009068447649411678,0.002389824023017532,-0.01375250273452604,-0.0043843925642973154,0.00014787633186075233,True
ENG:searxng,post_rank,treat_question_headings,187522,-0.019803208686873023,0.019540828050115082,-0.05810323166509858,0.018496814291352536,0.31085610315221457,False
ENG:searxng,post_rank,treat_structured_data,187522,0.14872691516272937,0.018077947699917385,0.1132941376708913,0.18415969265456744,2.220446049250313e-16,True
ENG:searxng,post_rank,T4_citation_authority_code,126730,-0.036950803967717154,0.011409391258203092,-0.05931321083379522,-0.014588397101639092,0.0012010500770327504,True
ENG:searxng,post_rank,treat_topical_comp,193611,-0.15023285684432736,0.061254328619107686,-0.2702913409377784,-0.030174372750876297,0.014182479532826475,False
ENG:searxng,post_rank,treat_freshness,187522,0.045157549183081847,0.005026324992394227,0.03530595219798916,0.05500914616817453,0.0,True
