experiment,treatment,treatment_col,outcome,learner,n_obs,n_treated,coef,se,t_stat,p_val,ci_lower,ci_upper,significance
deepseek-r1,T8b_earned_count,treat_earned_n,rank_delta,lgbm,436,2017,0.22353146715635144,0.05665596871450541,3.9454177949502,7.966095855880946e-05,0.11248780896669279,0.3345751253460101,***
deepseek-r1,T8b_earned_count,treat_earned_n,rank_delta,rf,436,2017,0.15548991254341402,0.060559842832774845,2.5675415468427083,0.010242251479735832,0.036794801681769226,0.2741850234050588,**
deepseek-r1,T8b_earned_count,treat_earned_n,pre_rank,lgbm,436,2017,0.012347051509637323,0.007226843711367752,1.7084984818774391,0.08754388783453655,-0.0018173018865432489,0.026511404905817895,*
deepseek-r1,T8b_earned_count,treat_earned_n,pre_rank,rf,436,2017,-0.0016113742105473595,0.0017418787994782647,-0.9250782609157454,0.35492520011262174,-0.005025393922958626,0.0018026455018639062,
deepseek-r1,T8b_earned_count,treat_earned_n,post_rank,lgbm,448,2096,-0.16242182257231616,0.05628556572812554,-2.8856745147922536,0.00390575855441814,-0.2727395042489042,-0.05210414089572811,***
deepseek-r1,T8b_earned_count,treat_earned_n,post_rank,rf,448,2096,-0.17830517820578012,0.0607587442500062,-2.9346422544893516,0.0033393244544428044,-0.29739012868167236,-0.05922022772988787,***
deepseek-r1,T8c_mentioned_snippet,treat_mentioned_snippet,rank_delta,lgbm,436,23,0.7939587164036798,0.3582971002488818,2.2159228077820807,0.026696789216624033,0.09170930415073408,1.4962081286566256,**
deepseek-r1,T8c_mentioned_snippet,treat_mentioned_snippet,rank_delta,rf,436,23,0.9104426079791299,0.39473071249438,2.306490422865417,0.021083244657408563,0.13678462789831036,1.6841005880599496,**
deepseek-r1,T8c_mentioned_snippet,treat_mentioned_snippet,pre_rank,lgbm,436,23,-0.09811719146203554,0.054826678048195854,-1.7895884805529307,0.07352009172353044,-0.2055755058284722,0.009341122904401117,*
deepseek-r1,T8c_mentioned_snippet,treat_mentioned_snippet,pre_rank,rf,436,23,-0.005049240552499441,0.004237672836956913,-1.1915125935312452,0.2334524157371256,-0.013354926691198667,0.003256445586199786,
deepseek-r1,T8c_mentioned_snippet,treat_mentioned_snippet,post_rank,lgbm,448,26,-0.8041213655178978,0.3545142887436332,-2.2682340064983886,0.023314947792175054,-1.4989566034602524,-0.10928612757554323,**
deepseek-r1,T8c_mentioned_snippet,treat_mentioned_snippet,post_rank,rf,448,26,-1.098295467461385,0.3624396966458405,-3.030284700118235,0.00244323311757558,-1.808664219454855,-0.3879267154679149,***
