treatment,treatment_col,label,outcome,method,learner,n_obs,coef,se,t_stat,p_val,ci_lower,ci_upper,significance,ols_coef,ols_se,ols_pval
T1a_stats_present,treat_stats_present,T1a Stats Present (binary),rank_delta,plr,lgbm,416,0.31222940311052855,0.22665460897153916,1.3775559408533138,0.1683404319896714,-0.13200546740369729,0.7564642736247544,,0.3786775486004756,0.2421872874726914,0.11871257757058573
T1a_stats_present,treat_stats_present,T1a Stats Present (binary),rank_delta,plr,rf,416,0.33351357379105406,0.24001969436060042,1.3895258665315624,0.1646729009318253,-0.13691638273603435,0.8039435303181425,,0.3786775486004756,0.2421872874726914,0.11871257757058573
T1b_stats_density,treat_stats_density,T1b Stats Density (continuous),rank_delta,plr,lgbm,411,0.0378643139665081,0.054070730890233294,0.7002737588913833,0.4837563562470537,-0.06811237119610652,0.14384099912912274,,0.0772192129321911,0.06602554099969585,0.24289677196607573
T1b_stats_density,treat_stats_density,T1b Stats Density (continuous),rank_delta,plr,rf,411,0.05784563155569862,0.05846301683844974,0.9894397293171316,0.32244804446672426,-0.05673977587522161,0.17243103898661885,,0.0772192129321911,0.06602554099969585,0.24289677196607573
T2a_question_headings,treat_question_headings,T2a Question Headings (binary),rank_delta,plr,lgbm,416,0.71428546009578,0.276147298973442,2.58661034437449,0.009692513072936448,0.173046699679819,1.255524220511741,***,0.5272088125134614,0.2519310401539233,0.03701130200629965
T2a_question_headings,treat_question_headings,T2a Question Headings (binary),rank_delta,plr,rf,416,0.6469049294044553,0.2780600277211344,2.326493795984349,0.019992223055325376,0.1019172895308228,1.191892569278088,**,0.5272088125134614,0.2519310401539233,0.03701130200629965
T2b_structural_modularity,treat_structural_modularity,T2b Structural Modularity (count),rank_delta,plr,lgbm,416,0.0020463432682122696,0.005151152399006066,0.39725931397547454,0.6911762467920015,-0.008049729912716718,0.012142416449141257,,0.007954231540265208,0.0043279167369839186,0.06682389091746765
T2b_structural_modularity,treat_structural_modularity,T2b Structural Modularity (count),rank_delta,plr,rf,416,0.008316676561637898,0.005421375708642096,1.5340527955626588,0.12501666489298682,-0.002309024573960922,0.018942377697236716,,0.007954231540265208,0.0043279167369839186,0.06682389091746765
T3_structured_data_new,treat_structured_data,T3 Structured Data (expanded),rank_delta,plr,lgbm,416,-0.05400685617055348,0.20604132876550796,-0.26211661754529714,0.7932315356113384,-0.4578404398777257,0.3498267275366188,,-0.1841700284463469,0.21056304932875322,0.3822891305757006
T3_structured_data_new,treat_structured_data,T3 Structured Data (expanded),rank_delta,plr,rf,416,-0.2424175290899767,0.2025501713977972,-1.1968270745813503,0.23137396304112434,-0.6394085700920742,0.15457351191212082,,-0.1841700284463469,0.21056304932875322,0.3822891305757006
T4a_ext_citations,treat_ext_citations_any,T4a External Citations (binary),rank_delta,plr,lgbm,416,-0.25037371847241374,0.47743087848519217,-0.5244187792519985,0.5999872977759959,-1.1861210454107094,0.6853736084658819,,0.32164487674244735,0.3399627511595174,0.34466244834984794
