treatment,outcome,learner,confounder,importance_outcome,importance_treatment,coef_outcome,se_outcome,pval_outcome,coef_treatment,se_treatment,pval_treatment
T1a_stats_present,rank_delta,lgbm,conf_title_kw_sim,83.0,193.0,0.014031185178483334,0.1195959723148436,0.9066642793835524,-0.024005335964895833,0.024677087598609,0.33125284230068863
T1a_stats_present,rank_delta,lgbm,conf_snippet_kw_sim,146.0,149.0,0.08099510345353836,0.10243153422183962,0.4295746270962937,-0.027500889337810388,0.0211354270041628,0.19394942020157346
T1a_stats_present,rank_delta,lgbm,conf_title_len,199.0,140.0,0.06067711380902318,0.0994390869172408,0.5420808124749841,0.028733450703394753,0.020517974067910016,0.1621695500815945
T1a_stats_present,rank_delta,lgbm,conf_snippet_len,143.0,107.0,-0.224785774843153,0.10166082959453654,0.027592895077265478,-0.016354583609975264,0.020976402036745473,0.4360498211157622
T1a_stats_present,rank_delta,lgbm,conf_brand_recog,8.0,7.0,0.26292308996429703,0.13733275723069616,0.0562716354420032,0.00029734848355711906,0.028336844583852026,0.9916329146868428
T1a_stats_present,rank_delta,lgbm,conf_title_has_kw,0.0,0.0,0.044739006408338056,0.11208575422716262,0.6899963774262257,-0.00596744990386897,0.0231274508838669,0.7965210003538097
T1a_stats_present,rank_delta,lgbm,conf_word_count,168.0,208.0,-0.3509826168194237,0.11718883926485549,0.002915361507110026,0.07164011264971586,0.02418040671557987,0.0032317565786592617
T1a_stats_present,rank_delta,lgbm,conf_readability,171.0,244.0,-0.17040015177869192,0.09815770902420354,0.08333872652754559,0.014818449885386359,0.020253578253390796,0.46481413892562573
T1a_stats_present,rank_delta,lgbm,conf_internal_links,145.0,159.0,0.15196594265257363,0.10719104721877722,0.15705556618125294,0.021328377580416624,0.022117491173037573,0.3354687258276574
T1a_stats_present,rank_delta,lgbm,conf_outbound_links,98.0,143.0,0.08516294183514335,0.1122449109678666,0.44846544729740345,0.02716358877846425,0.023160290826184704,0.24155496092279982
T1a_stats_present,rank_delta,lgbm,conf_images_alt,167.0,154.0,-0.04623100950102933,0.10085896798769733,0.6469341689246197,0.03653247089684492,0.02081094822813526,0.07995060842172674
T1a_stats_present,rank_delta,lgbm,conf_bm25,119.0,190.0,-0.015442218086127647,0.10766047647027101,0.886019510201135,0.03450441738383328,0.022214351849331633,0.12115648442266713
T1a_stats_present,rank_delta,lgbm,conf_domain_authority,60.0,62.0,0.17908035967048777,0.14346960088143257,0.21268569107542223,-0.021865385422202968,0.029603103182841598,0.46057322041600557
T1a_stats_present,rank_delta,lgbm,conf_backlinks,92.0,69.0,-0.08584127256177546,0.10562284537119601,0.41686611761506764,-0.009362543910167796,0.021793912931931045,0.6677225714033261
T1a_stats_present,rank_delta,lgbm,conf_referring_domains,38.0,32.0,0.07963178052392206,0.11012429654576686,0.4700370844700652,-0.07380259750371408,0.02272272936952239,0.0012606930464218458
T1a_stats_present,rank_delta,lgbm,conf_serp_position,269.0,102.0,3.41752687565351,0.0968126736516709,0.0,0.004454110865624632,0.019976047538361054,0.8236709490173002
T1b_stats_density,rank_delta,lgbm,conf_title_kw_sim,89.0,132.0,0.061169021030615806,0.11669636873727439,0.600453349764869,-0.003632086591927954,0.08900095006585565,0.9674684162935743
