treatment,treatment_col,label,outcome,method,learner,n_obs,coef,se,t_stat,p_val,ci_lower,ci_upper,significance,ols_coef,ols_se,ols_pval
T1a_stats_present,treat_stats_present,T1a Stats Present (binary),rank_delta,plr,lgbm,355,0.5203279493619987,0.32328489146160116,1.6095028351295584,0.10750643557141032,-0.11329879464868009,1.1539546933726774,,0.5437417869867937,0.30832507436713763,0.07871658076517996
T1a_stats_present,treat_stats_present,T1a Stats Present (binary),rank_delta,plr,rf,355,0.42635849586415187,0.31805209487664104,1.3405303808155022,0.1800729740316197,-0.19701215530158078,1.0497291470298844,,0.5437417869867937,0.30832507436713763,0.07871658076517996
T1b_stats_density,treat_stats_density,T1b Stats Density (continuous),rank_delta,plr,lgbm,349,0.12881691166263884,0.072988433433034,1.7648948690045085,0.07758143620412387,-0.014237789154106978,0.27187161247938463,*,0.14003617034711102,0.08215921779906867,0.08923568749673638
T1b_stats_density,treat_stats_density,T1b Stats Density (continuous),rank_delta,plr,rf,349,0.10819971828949843,0.07869603907441984,1.3749067877123788,0.1691603446503439,-0.04604168402232131,0.2624411206013182,,0.14003617034711102,0.08215921779906867,0.08923568749673638
T2a_question_headings,treat_question_headings,T2a Question Headings (binary),rank_delta,plr,lgbm,355,0.16244395258776465,0.32016829823257703,0.5073705094617517,0.6118948738007265,-0.4650743809395653,0.7899622861150947,,0.2727384988538532,0.30552212185797883,0.37265677404829534
T2a_question_headings,treat_question_headings,T2a Question Headings (binary),rank_delta,plr,rf,355,0.12494772931985332,0.3257981940667997,0.38351265168227044,0.7013396913714782,-0.5136049972792652,0.7635004559189719,,0.2727384988538532,0.30552212185797883,0.37265677404829534
T2b_structural_modularity,treat_structural_modularity,T2b Structural Modularity (count),rank_delta,plr,lgbm,355,0.005549701840137893,0.007860310254710142,0.7060410671210261,0.48016259903177605,-0.009856223166404846,0.02095562684668063,,0.004591466278920366,0.005201989341027373,0.3780617924517573
T2b_structural_modularity,treat_structural_modularity,T2b Structural Modularity (count),rank_delta,plr,rf,355,0.008249985514804537,0.007548711218919259,1.0928998706597335,0.2744377650892339,-0.006545216603970661,0.023045187633579736,,0.004591466278920366,0.005201989341027373,0.3780617924517573
T3_structured_data_new,treat_structured_data,T3 Structured Data (expanded),rank_delta,plr,lgbm,355,0.0010662017390460838,0.26481689188103114,0.004026184777990199,0.9967875780056856,-0.5179653688456124,0.5200977723237045,,-0.028819598646082148,0.2581218471074627,0.9111664908472727
T3_structured_data_new,treat_structured_data,T3 Structured Data (expanded),rank_delta,plr,rf,355,0.05375803655768852,0.27492259818920245,0.19553880587397948,0.8449711612687414,-0.48508035442932496,0.592596427544702,,-0.028819598646082148,0.2581218471074627,0.9111664908472727
T4a_ext_citations,treat_ext_citations_any,T4a External Citations (binary),rank_delta,plr,lgbm,355,-1.165163034406891,0.6992028510504555,-1.6664163091674966,0.0956305246337989,-2.535575440353508,0.20524937153972567,*,-0.2650531494503055,0.46271985469518345,0.5671515351048391
T4a_ext_citations,treat_ext_citations_any,T4a External Citations (binary),rank_delta,plr,rf,355,-0.991621138736262,0.6809323296022746,-1.4562697284698725,0.14531807035372982,-2.3262239806656773,0.34298170319315335,,-0.2650531494503055,0.46271985469518345,0.5671515351048391
T4b_auth_citations,treat_auth_citations,T4b Authority Citations (count),rank_delta,plr,lgbm,355,-0.7693077937370658,0.5827331895602339,-1.320171576837133,0.18677773941449105,-1.9114438578712765,0.37282827039714483,,-0.675375513588198,0.4348431848818176,0.12132653328421328
T4b_auth_citations,treat_auth_citations,T4b Authority Citations (count),rank_delta,plr,rf,355,-0.7059005408289669,0.6413937368358129,-1.1005728623285056,0.2710826019211876,-1.9630091649367216,0.5512080832787878,,-0.675375513588198,0.4348431848818176,0.12132653328421328
T5_topical_comp,treat_topical_comp,T5 Topical Competence (cosine),rank_delta,plr,lgbm,349,-0.6439224974891549,0.8554017704094659,-0.7527719952940014,0.45158693804238503,-2.320479159803508,1.0326341648251984,,-0.17041127063925557,0.8954908032044347,0.8491912599208782
T5_topical_comp,treat_topical_comp,T5 Topical Competence (cosine),rank_delta,plr,rf,349,-0.602120254566929,0.9264635989617279,-0.6499124792832821,0.5157487567645376,-2.4179555415192757,1.213715032385418,,-0.17041127063925557,0.8954908032044347,0.8491912599208782
T6_freshness,treat_freshness,T6 Freshness (ordinal 0-4),rank_delta,plr,lgbm,355,-0.14256917712368108,0.06989811690077626,-2.039671216408661,0.04138308361937196,-0.279566968836373,-0.005571385410989171,**,-0.1650490471694254,0.06882879132046288,0.01702991108872287
T6_freshness,treat_freshness,T6 Freshness (ordinal 0-4),rank_delta,plr,rf,355,-0.12153325217369819,0.07631267151008639,-1.5925697498040665,0.11125674420449418,-0.27110333989750335,0.028036835550106984,,-0.1650490471694254,0.06882879132046288,0.01702991108872287
T7_source_earned,treat_source_earned,T7 Source: Earned,rank_delta,plr,lgbm,399,-5.270952536864397,0.47585706337265876,-11.07675590545253,1.6265986844188907e-28,-6.203615242863802,-4.3382898308649915,***,-5.64457686801976,2.161535087466809,0.00937416145511083
T7_source_earned,treat_source_earned,T7 Source: Earned,rank_delta,plr,rf,399,-6.1102493664237,0.28130790723560684,-21.720858920990505,1.3031972924892898e-104,-6.661602733171823,-5.558895999675577,***,-5.64457686801976,2.161535087466809,0.00937416145511083
T1a_stats_present,treat_stats_present,T1a Stats Present (binary),pre_rank,plr,lgbm,355,0.018972235341469367,0.055260083623987266,0.34332621482378484,0.731353061434999,-0.08933553834421731,0.12728000902715605,,-7.0157515786022325e-15,1.762341891721028e-15,8.411168190147755e-05
