keyword,domain,url,search_engine,llm_model,pre_rank,post_rank,rank_delta,T1_statistical_density_code,T2_question_heading_code,T3_structured_data_code,T4_citation_authority_code,T1_statistical_density_llm,T2_question_heading_llm,T3_structured_data_llm,T4_citation_authority_llm,X1_domain_authority,X1_global_rank,X2_domain_age_years,X3_word_count,X4_lcp_ms,X6_readability,X7_internal_links,X7B_outbound_links,X8_keyword_difficulty,X9_images_with_alt,X10_https
CRM software,hubspot.com,https://www.hubspot.com/products/crm,searxng,meta-llama/Llama-3.3-70B-Instruct,2.0,1,1.0,2.24,1.0,1.0,0.0,23.42,0.0,1.0,0.0,6.44,265.0,21.0,1788.0,,10.99,99.0,19.0,5.12,53.0,1.0
CRM software,salesforce.com,https://www.salesforce.com/crm/what-is-crm/software/,searxng,meta-llama/Llama-3.3-70B-Instruct,6.0,2,4.0,0.0,1.0,0.0,0.0,0.038,1.0,0.0,0.0,6.66,189.0,27.2,2613.0,,12.39,560.0,19.0,5.12,20.0,1.0
CRM software,microsoft.com,https://support.microsoft.com/en-us/topic/microsoft-dynamics-365-releases-17837bba-5689-2216-22c0-e8c7a032c3a6,searxng,meta-llama/Llama-3.3-70B-Instruct,5.0,3,2.0,3.72,0.0,0.0,0.0,34.45,0.0,0.0,0.0,7.53,65.0,34.8,2691.0,,6.28,326.0,12.0,5.12,3.0,1.0
CRM software,weclapp.com,https://www.weclapp.com/de/crm/,searxng,meta-llama/Llama-3.3-70B-Instruct,12.0,4,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.23,2595239.0,15.3,2374.0,,13.04,146.0,9.0,5.12,17.0,1.0
CRM software,centralstationcrm.de,https://centralstationcrm.de/,searxng,meta-llama/Llama-3.3-70B-Instruct,14.0,5,9.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22,2632983.0,,2792.0,,9.55,121.0,10.0,5.12,61.0,1.0
CRM software,zoho.com,,searxng,meta-llama/Llama-3.3-70B-Instruct,,6,,,,,,,,,,,,,,,,,,5.12,,
CRM software,pipedrive.com,,searxng,meta-llama/Llama-3.3-70B-Instruct,,7,,0.0,0.0,1.0,0.0,23.0,0.0,1.0,0.0,5.46,2436.0,15.6,2260.0,,11.34,225.0,7.0,5.12,9.0,1.0
CRM software,clickup.com,,searxng,meta-llama/Llama-3.3-70B-Instruct,,8,,,,,,,,,,,,,,,,,,5.12,,
CRM software,monday.com,,searxng,meta-llama/Llama-3.3-70B-Instruct,,9,,,,,,,,,,,,,,,,,,5.12,,
CRM software,cas.de,https://www.cas.de/infothek/wissenswertes/glossar/crm-software/,searxng,meta-llama/Llama-3.3-70B-Instruct,4.0,10,-6.0,0.75,0.0,0.0,0.0,0.075,1.0,0.0,0.0,3.29,2186183.0,,666.0,,12.85,140.0,21.0,5.12,1.0,1.0
project management software,projectmanager.com,https://www.projectmanager.com/,searxng,meta-llama/Llama-3.3-70B-Instruct,5.0,1,4.0,1.08,0.0,0.0,0.0,0.043,0.0,0.0,0.0,4.58,34547.0,29.6,923.0,,11.03,210.0,3.0,5.29,80.0,1.0
project management software,asana.com,https://asana.com/de/resources/best-project-management-software,searxng,meta-llama/Llama-3.3-70B-Instruct,8.0,2,6.0,0.34,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.1,509.0,17.1,2941.0,,11.95,269.0,11.0,5.29,12.0,1.0
project management software,atlassian.com,https://www.atlassian.com/de/agile/project-management/free-project-management-software,searxng,meta-llama/Llama-3.3-70B-Instruct,7.0,3,4.0,0.22,0.0,0.0,0.0,10.34,0.0,1.0,1.0,5.97,741.0,24.9,2320.0,,14.55,1114.0,5.0,5.29,9.0,1.0
project management software,openproject.org,https://www.openproject.org/de/,searxng,meta-llama/Llama-3.3-70B-Instruct,9.0,4,5.0,1.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.3,231252.0,22.3,1204.0,,13.31,142.0,18.0,5.29,25.0,1.0
project management software,wrike.com,https://www.wrike.com/project-management-guide/faq/what-are-project-management-tools/,searxng,meta-llama/Llama-3.3-70B-Instruct,12.0,5,7.0,2.43,1.0,0.0,0.0,23.42,1.0,0.0,1.0,5.07,5419.0,20.3,9257.0,,12.08,382.0,31.0,5.29,50.0,1.0
project management software,monday.com,https://monday.com/free-project-management-software,searxng,meta-llama/Llama-3.3-70B-Instruct,16.0,6,10.0,0.9,0.0,1.0,0.0,0.054,1.0,1.0,0.0,5.78,1614.0,30.6,554.0,,10.47,104.0,16.0,5.29,105.0,1.0
project management software,paymoapp.com,https://www.paymoapp.com/blog/project-management-software/,searxng,meta-llama/Llama-3.3-70B-Instruct,15.0,7,8.0,0.73,1.0,0.0,0.0,23.42,0.0,1.0,2.0,4.57,35095.0,14.7,17797.0,,11.32,173.0,54.0,5.29,203.0,1.0
project management software,zapier.com,https://zapier.com/blog/free-project-management-software/,searxng,meta-llama/Llama-3.3-70B-Instruct,11.0,8,3.0,1.65,1.0,0.0,0.0,10.59,1.0,1.0,2.0,6.23,378.0,14.3,4255.0,,12.93,347.0,30.0,5.29,71.0,1.0
project management software,icagile.com,https://www.icagile.com/resources/honest-review-of-6-personal-project-management-tools-with-kanban-view,searxng,meta-llama/Llama-3.3-70B-Instruct,1.0,9,-8.0,0.29,0.0,0.0,0.0,0.103,0.0,0.0,0.0,4.63,27177.0,16.3,1748.0,,9.98,71.0,18.0,5.29,26.0,1.0
project management software,basecamp.com,,searxng,meta-llama/Llama-3.3-70B-Instruct,,10,,1.02,0.0,0.0,0.0,6.15,1.0,0.0,0.0,5.68,1791.0,31.6,1960.0,,7.56,66.0,21.0,5.29,25.0,1.0
marketing automation software,hubspot.com,https://www.hubspot.com/products/marketing/marketing-automation,searxng,meta-llama/Llama-3.3-70B-Instruct,7.0,1,6.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,6.44,265.0,21.0,1255.0,,13.36,97.0,19.0,5.23,39.0,1.0
marketing automation software,zapier.com,https://zapier.com/blog/best-marketing-automation-software/,searxng,meta-llama/Llama-3.3-70B-Instruct,1.0,2,-1.0,1.45,1.0,0.0,0.0,12.65,1.0,1.0,0.0,6.23,378.0,14.3,5511.0,,14.0,373.0,23.0,5.23,86.0,1.0
marketing automation software,act-on.com,https://act-on.com/,searxng,meta-llama/Llama-3.3-70B-Instruct,10.0,3,7.0,1.6,0.0,0.0,0.0,0.063,0.0,1.0,0.0,4.4,84007.0,20.5,626.0,,14.56,138.0,16.0,5.23,21.0,1.0
marketing automation software,klaviyo.com,https://www.klaviyo.com/solutions/marketing-automation,searxng,meta-llama/Llama-3.3-70B-Instruct,14.0,4,10.0,0.0,0.0,1.0,0.0,0.265,1.0,1.0,0.0,5.45,2482.0,13.9,1129.0,,12.69,320.0,4.0,5.23,9.0,1.0
marketing automation software,make.com,https://www.make.com/en/solutions/automate-marketing,searxng,meta-llama/Llama-3.3-70B-Instruct,5.0,5,0.0,,,,,,,,,5.47,2426.0,28.5,,,,,,5.23,,1.0
marketing automation software,brevo.com,,searxng,meta-llama/Llama-3.3-70B-Instruct,,6,,,,,,,,,,,,,,,,,,5.23,,
marketing automation software,emarsys.com,,searxng,meta-llama/Llama-3.3-70B-Instruct,,7,,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.64,25910.0,25.2,1033.0,,17.54,201.0,5.0,5.23,32.0,1.0
marketing automation software,activecampaign.com,,searxng,meta-llama/Llama-3.3-70B-Instruct,,8,,4.9,0.0,0.0,0.0,6.17,0.0,0.0,0.0,5.84,1537.0,23.1,408.0,,9.89,148.0,5.0,5.23,10.0,1.0
marketing automation software,apteco.com,,searxng,meta-llama/Llama-3.3-70B-Instruct,,9,,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,2563060.0,25.5,1231.0,,14.96,158.0,10.0,5.23,21.0,1.0
marketing automation software,sendinblue.com,,searxng,meta-llama/Llama-3.3-70B-Instruct,,10,,5.87,0.0,0.0,0.0,6.43,0.0,0.0,0.0,5.34,2978.0,12.3,511.0,,13.64,6.0,110.0,5.23,127.0,1.0
HR software,rexx-systems.com,https://www.rexx-systems.com/software-hr/,searxng,meta-llama/Llama-3.3-70B-Instruct,2.0,1,1.0,0.26,0.0,0.0,0.0,0.105,0.0,1.0,0.0,4.42,75264.0,18.4,1894.0,,12.82,227.0,8.0,4.37,78.0,1.0
HR software,bamboohr.com,https://www.bamboohr.com,searxng,meta-llama/Llama-3.3-70B-Instruct,7.0,2,5.0,3.96,1.0,0.0,0.0,6.349206349206349,1.0,0.0,0.0,5.22,3781.0,16.6,1262.0,,10.77,22.0,0.0,4.37,0.0,1.0
HR software,paycom.com,https://www.paycom.com/software/hr-management/,searxng,meta-llama/Llama-3.3-70B-Instruct,8.0,3,5.0,0.78,1.0,1.0,0.0,0.0,1.0,1.0,0.0,4.6,31539.0,27.5,2561.0,,15.15,503.0,17.0,4.37,15.0,1.0
HR software,workday.com,https://www.workday.com/de-de/solutions/role/enterprise-hr/overview.html,searxng,meta-llama/Llama-3.3-70B-Instruct,9.0,4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.35,2928.0,24.4,968.0,,11.23,212.0,14.0,4.37,13.0,1.0
HR software,sage.com,https://www.sage.com/en-us/sage-business-cloud/hr/,searxng,meta-llama/Llama-3.3-70B-Instruct,14.0,5,9.0,,,,,,,,,5.57,2079.0,28.9,,,,,,4.37,,1.0
HR software,hracuity.com,https://www.hracuity.com/blog/best-hr-software-solutions/,searxng,meta-llama/Llama-3.3-70B-Instruct,13.0,6,7.0,0.18,1.0,1.0,0.0,12.15,1.0,1.0,0.0,3.45,1601186.0,20.0,8258.0,,14.08,216.0,5.0,4.37,10.0,1.0
HR software,kenjo.io,https://www.kenjo.io/de/guides/hr-software-auswaehlen-leitfaden,searxng,meta-llama/Llama-3.3-70B-Instruct,15.0,7,8.0,0.44,0.0,0.0,0.0,23.55,1.0,0.0,2.0,4.38,92257.0,6.0,4499.0,,13.03,221.0,11.0,4.37,32.0,1.0
HR software,hrworks.de,https://www.hrworks.de/,searxng,meta-llama/Llama-3.3-70B-Instruct,1.0,8,-7.0,0.36,0.0,0.0,0.0,23.0,0.0,1.0,0.0,3.34,2043346.0,,1393.0,,10.2,64.0,4.0,4.37,129.0,1.0
HR software,clockodo.com,,searxng,meta-llama/Llama-3.3-70B-Instruct,,9,,0.0,0.0,0.0,0.0,7.55,1.0,0.0,0.0,4.07,1012820.0,15.3,209.0,,11.44,100.0,13.0,4.37,32.0,1.0
HR software,awork.io,,searxng,meta-llama/Llama-3.3-70B-Instruct,,10,,,,,,,,,,3.27,2513512.0,7.3,,,,,,4.37,,1.0
accounting software,gnucash.org,https://www.gnucash.org/,searxng,meta-llama/Llama-3.3-70B-Instruct,5.0,1,4.0,4.49,0.0,0.0,0.0,0.06,0.0,0.0,1.0,4.61,30357.0,27.8,334.0,,11.96,17.0,9.0,4.53,9.0,1.0
accounting software,sevdesk.com,https://www.sevdesk.com/,searxng,meta-llama/Llama-3.3-70B-Instruct,6.0,2,4.0,0.72,0.0,1.0,0.0,0.043,0.0,1.0,0.0,2.99,3336004.0,12.4,3480.0,,10.56,11.0,46.0,4.53,38.0,1.0
accounting software,manager.io,https://www.manager.io/,searxng,meta-llama/Llama-3.3-70B-Instruct,9.0,3,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42,1655486.0,14.9,,,,0.0,0.0,4.53,0.0,1.0
accounting software,waveapps.com,https://www.waveapps.com/accounting,searxng,meta-llama/Llama-3.3-70B-Instruct,10.0,4,6.0,0.0,1.0,0.0,0.0,0.391,1.0,0.0,0.0,4.95,7803.0,15.3,1539.0,,9.09,177.0,7.0,4.53,36.0,1.0
accounting software,sage.com,https://www.sage.com/en-us/accounting-software/,searxng,meta-llama/Llama-3.3-70B-Instruct,12.0,5,7.0,,,,,,,,,5.57,2079.0,28.9,,,,,,4.53,,1.0
accounting software,qonto.com,https://qonto.com/de/blog/business/buchhaltung/accounting-software,searxng,meta-llama/Llama-3.3-70B-Instruct,3.0,6,-3.0,0.74,0.0,1.0,0.0,23.42,1.0,1.0,0.0,4.73,17828.0,11.2,2022.0,,11.48,193.0,14.0,4.53,21.0,1.0
accounting software,agicap.com,https://agicap.com/de/artikel/accounting-software/,searxng,meta-llama/Llama-3.3-70B-Instruct,4.0,7,-3.0,0.38,0.0,0.0,0.0,12.5,1.0,1.0,0.0,4.19,787444.0,10.4,2605.0,,16.4,86.0,8.0,4.53,27.0,1.0
accounting software,lexware.de,https://www.lexware.de/,searxng,meta-llama/Llama-3.3-70B-Instruct,14.0,8,6.0,1.44,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.56,36907.0,,1391.0,,10.44,115.0,12.0,4.53,9.0,1.0
accounting software,xero.com,,searxng,meta-llama/Llama-3.3-70B-Instruct,,9,,3.63,0.0,0.0,0.0,6.45,0.0,0.0,0.0,5.75,1660.0,28.7,413.0,,9.76,122.0,5.0,4.53,5.0,1.0
accounting software,zoho.com,,searxng,meta-llama/Llama-3.3-70B-Instruct,,10,,,,,,,,,,,,,,,,,,4.53,,
ERP software,oracle.com,https://www.oracle.com/erp/what-is-erp/,searxng,meta-llama/Llama-3.3-70B-Instruct,3.0,1,2.0,0.71,1.0,0.0,3.0,0.0,1.0,1.0,4.0,7.03,107.0,37.2,2822.0,,15.68,123.0,11.0,5.41,0.0,1.0
ERP software,sap.com,https://www.sap.com/products/erp/what-is-erp.html,searxng,meta-llama/Llama-3.3-70B-Instruct,4.0,2,2.0,,,,,,,,,5.89,988.0,31.1,,,,,,5.41,,1.0
ERP software,workday.com,https://www.workday.com/de-de/topics/erp/what-is-erp-software.html,searxng,meta-llama/Llama-3.3-70B-Instruct,7.0,3,4.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.35,2928.0,24.4,2172.0,,13.5,223.0,14.0,5.41,1.0,1.0
ERP software,salesforce.com,https://www.salesforce.com/sales/revenue-lifecycle-management/erp-software/?bc=OTH,searxng,meta-llama/Llama-3.3-70B-Instruct,12.0,4,8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.66,189.0,27.2,1486.0,,12.07,515.0,20.0,5.41,20.0,1.0
ERP software,sage.com,https://www.sage.com/de-de/erp-software/,searxng,meta-llama/Llama-3.3-70B-Instruct,15.0,5,10.0,,,,,,,,,5.57,2079.0,28.9,,,,,,5.41,,1.0
ERP software,zoho.com,,searxng,meta-llama/Llama-3.3-70B-Instruct,,6,,,,,,,,,,,,,,,,,,5.41,,
ERP software,microsoft.com,,searxng,meta-llama/Llama-3.3-70B-Instruct,,7,,,,,,,,,,,,,,,,,,5.41,,
ERP software,xentral.com,,searxng,meta-llama/Llama-3.3-70B-Instruct,,8,,0.55,0.0,0.0,0.0,0.104,0.0,1.0,0.0,4.6,30952.0,24.8,916.0,,12.5,169.0,10.0,5.41,97.0,1.0
ERP software,haufe.com,,searxng,meta-llama/Llama-3.3-70B-Instruct,,9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.97,1035210.0,29.8,491.0,,12.84,35.0,131.0,5.41,27.0,1.0
ERP software,cubesoftware.com,https://www.cubesoftware.com/blog/erp-system-examples,searxng,meta-llama/Llama-3.3-70B-Instruct,11.0,10,1.0,1.76,1.0,0.0,0.0,23.45,1.0,1.0,2.0,4.22,394826.0,19.4,10207.0,,12.89,228.0,96.0,5.41,47.0,1.0
helpdesk software,helpdesk.com,https://www.helpdesk.com/,searxng,meta-llama/Llama-3.3-70B-Instruct,1.0,1,0.0,2.99,1.0,1.0,0.0,0.075,1.0,1.0,0.0,4.77,14869.0,31.9,2005.0,,11.38,128.0,34.0,4.4,37.0,1.0
helpdesk software,hubspot.com,https://www.hubspot.com/products/service/help-desk,searxng,meta-llama/Llama-3.3-70B-Instruct,4.0,2,2.0,0.87,1.0,0.0,0.0,0.043,0.0,0.0,0.0,6.44,265.0,21.0,1730.0,,12.72,86.0,18.0,4.4,34.0,1.0
helpdesk software,zendesk.de,https://www.zendesk.de/service/help-desk-software/,searxng,meta-llama/Llama-3.3-70B-Instruct,2.0,3,-1.0,0.09,0.0,0.0,0.0,12.43,1.0,0.0,0.0,4.09,1011477.0,,5656.0,,14.83,169.0,54.0,4.4,15.0,1.0
helpdesk software,otrs.com,https://otrs.com/use-cases/help-desk/help-desk-software/,searxng,meta-llama/Llama-3.3-70B-Instruct,13.0,4,9.0,0.19,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.52,44375.0,27.6,2579.0,,12.97,144.0,6.0,4.4,4.0,1.0
helpdesk software,zammad.com,https://zammad.com/de,searxng,meta-llama/Llama-3.3-70B-Instruct,16.0,5,11.0,1.68,0.0,0.0,0.0,0.033,0.0,0.0,0.0,4.18,789305.0,14.1,594.0,,14.39,162.0,13.0,4.4,75.0,1.0
helpdesk software,freshdesk.com,,searxng,meta-llama/Llama-3.3-70B-Instruct,,6,,3.86,0.0,0.0,0.0,0.065,0.0,0.0,0.0,5.25,3528.0,21.8,777.0,,11.46,1.0,95.0,4.4,35.0,1.0
helpdesk software,happyfox.com,,searxng,meta-llama/Llama-3.3-70B-Instruct,,7,,1.98,1.0,0.0,0.0,12.0,1.0,0.0,0.0,5.06,5665.0,21.9,1012.0,,15.05,161.0,15.0,4.4,169.0,1.0
helpdesk software,helpscape.com,,searxng,meta-llama/Llama-3.3-70B-Instruct,,8,,1.38,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.73,93925301.0,16.1,1445.0,,9.34,51.0,13.0,4.4,45.0,1.0
helpdesk software,solarwinds.com,,searxng,meta-llama/Llama-3.3-70B-Instruct,,9,,4.17,1.0,0.0,0.0,0.027,0.0,0.0,0.0,4.97,7147.0,29.2,719.0,,16.23,198.0,7.0,4.4,39.0,1.0
helpdesk software,jira.com,,searxng,meta-llama/Llama-3.3-70B-Instruct,,10,,2.01,1.0,0.0,0.0,0.04,0.0,0.0,0.0,4.04,1017193.0,22.0,498.0,,18.08,98.0,23.0,4.4,19.0,1.0
inventory management software,odoo.com,https://www.odoo.com/app/inventory,searxng,meta-llama/Llama-3.3-70B-Instruct,6.0,1,5.0,0.93,0.0,0.0,0.0,0.082,0.0,0.0,0.0,5.57,2087.0,25.1,540.0,,12.22,130.0,10.0,3.76,12.0,1.0
inventory management software,sortly.com,https://www.sortly.com/,searxng,meta-llama/Llama-3.3-70B-Instruct,7.0,2,5.0,2.1,0.0,0.0,0.0,0.079,0.0,0.0,0.0,4.56,37189.0,19.6,238.0,,9.57,93.0,9.0,3.76,21.0,1.0
inventory management software,cin7.com,https://www.cin7.com/,searxng,meta-llama/Llama-3.3-70B-Instruct,9.0,3,6.0,0.31,1.0,1.0,0.0,6.787,0.0,1.0,0.0,3.84,1164671.0,14.9,1631.0,,14.68,221.0,16.0,3.76,118.0,1.0
inventory management software,timly.com,https://timly.com/en/inventory-management-software-examples/,searxng,meta-llama/Llama-3.3-70B-Instruct,2.0,4,-2.0,0.34,1.0,0.0,0.0,12.5,1.0,1.0,2.0,3.45,1606113.0,20.5,13342.0,,14.12,634.0,12.0,3.76,650.0,1.0
inventory management software,zoho.com,https://www.zoho.com/inventory/free-inventory-management-software/,searxng,meta-llama/Llama-3.3-70B-Instruct,15.0,5,10.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,410.0,22.1,794.0,,12.27,127.0,13.0,3.76,31.0,1.0
inventory management software,katana.com,,searxng,meta-llama/Llama-3.3-70B-Instruct,,6,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49,7308484.0,30.5,,,,0.0,0.0,3.76,0.0,1.0
inventory management software,ordoro.com,,searxng,meta-llama/Llama-3.3-70B-Instruct,,7,,6.34,0.0,0.0,0.0,6.42,1.0,0.0,0.0,4.4,82671.0,16.6,868.0,,6.05,62.0,14.0,3.76,18.0,1.0
inventory management software,fishbowlinventory.com,,searxng,meta-llama/Llama-3.3-70B-Instruct,,8,,3.57,0.0,0.0,0.0,23.72,0.0,0.0,0.0,3.74,1285796.0,23.8,2522.0,,13.09,77.0,10.0,3.76,117.0,1.0
