treatment,rank_delta::duckduckgo+Llama-3.3-70B,rank_delta::duckduckgo+Qwen2.5-72B,rank_delta::searxng+Llama-3.3-70B,rank_delta::searxng+Qwen2.5-72B,post_rank::duckduckgo+Llama-3.3-70B,post_rank::duckduckgo+Qwen2.5-72B,post_rank::searxng+Llama-3.3-70B,post_rank::searxng+Qwen2.5-72B
T1_code,+0.0008,-0.0093,-0.0043,-0.0160,-0.0004,+0.0074,+0.0150,+0.0163*
T1_llm,-0.0059,+0.0214,-0.0023,-0.0230,+0.0078,-0.0280,+0.0071,+0.0207
T1a_stats_present,+0.3779*,+0.0500,+0.1923,-0.1510,-0.2230,-0.1365,-0.1520,+0.2309*
T1b_stats_density,+0.0065,-0.0079,-0.0139,-0.0132,-0.0006,+0.0099*,+0.0078,+0.0177*
T2_code,-0.0036,+0.0062,-0.1043,+0.0168,+0.0388,-0.0012,+0.0853,-0.0065
T2_llm,+0.0594,+0.0123,-0.3241***,-0.0811,-0.0176,-0.0338,+0.2431**,+0.0024
T2a_question_headings,-0.0425,-0.0313,-0.1542,+0.0760,-0.0266,-0.0500,+0.2226*,-0.0552
T2b_structural_modularity,+0.0048*,+0.0061**,+0.0027,+0.0049*,-0.0039,-0.0049*,-0.0040,-0.0054*
T3_code,+0.2191*,-0.1138,-0.0661,+0.1138,-0.1013,+0.0084,+0.0099,-0.0899
T3_llm,-0.0302,-0.0101,+0.0091,+0.1651,+0.0318,+0.0251,+0.0150,-0.1229
T3_structured_data_new,-0.1824,-0.2324*,-0.1833*,-0.1640*,+0.1403,+0.2849**,+0.1928*,+0.1616*
T4_code,-0.0141,-0.0095,+0.0085,+0.0006,+0.0048,+0.0074,-0.0091,-0.0117
T4_llm,-0.0297,-0.0133,-0.0048,-0.0351,+0.0404,+0.0199,+0.0513,+0.0387
T4a_ext_citations,-0.2776,-0.1130,+0.0406,+0.0216,+0.2559,+0.1656,+0.1412,-0.0077
T4b_auth_citations,-0.0137,-0.0096,+0.0042,+0.0161,+0.0063,+0.0032,+0.0036,+0.0109
T5_topical_comp,,+0.8216*,-0.1575,+0.1914,,-0.8211*,+0.0541,-0.2951
T6_freshness,-0.0682*,-0.1228***,-0.0826***,-0.0799***,+0.0709**,+0.1528***,+0.0775**,+0.0656**
T7_source_earned,-1.2804***,-1.6019***,-0.3073,-1.6608***,+0.9773*,+1.2205***,+0.4822,+1.5159***
T_llms_txt,+0.1483,-0.0418,+0.2842**,+0.0267,-0.1405,+0.0501,-0.1595,-0.0888
